distance_integrated_m,speed_reconstructed_kmh,lap_time_s,distance_official_length_scaled_m,drs_on,kers_active,kers_bar_fraction_visual
4894,204.522888746335,86.9379296248779,4961.85113180537,1,0,0
4895,205.050747983872,86.9555249327957,4962.86499595164,1,0,0
4896,205.576399599127,86.9730466533042,4963.8788600979,1,0,0
4897,206.101180940234,86.9905393646745,4964.89272424416,1,0,0
4898,206.624652355074,87.0079884118358,4965.90658839042,1,0,0
4899,207.146391485508,87.0253797161836,4966.92045253668,1,0,0
4900,207.667737932278,87.0427579310759,4967.93431668295,1,0,0
4901,208.18646992075,87.0600489973583,4968.94818082921,1,0,0
4902,208.705201909223,87.0773400636408,4969.96204497547,1,0,0
4903,209.221504477078,87.0945501492359,4970.97590912173,1,0,0
4904,209.737263789399,87.1117421263133,4971.98977326799,1,0,0
4905,210.335123576851,87.1288780894213,4973.00363741425,1,0,0
4906,211.01823553131,87.1459558882828,4974.01750156052,1,0,0
4907,211.700584039549,87.1630146009887,4975.03136570678,1,0,0
4908,212.378550141244,87.1799637535311,4976.04522985304,1,0,0
4909,213.056516242939,87.1969129060735,4977.0590939993,1,0,0
4910,213.664283915635,87.2137652547325,4978.07295814556,1,0,0
4911,214.253206561113,87.2305916160318,4979.08682229183,1,0,0
4912,214.80633381738,87.2473777939127,4980.10068643809,1,0,0
4913,215.308192553439,87.264106418448,4981.11455058435,1,0,0
4914,215.809995552219,87.280833185074,4982.12841473061,1,0,0
4915,216.309071337801,87.2974690445934,4983.14227887687,1,0,0
4916,216.808147123383,87.3141049041128,4984.15614302313,1,0,0
4917,217.305528664982,87.3306842888327,4985.1700071694,1,0,0
4918,217.801852194394,87.3472284064798,4986.18387131566,1,0,0
4919,218.297637282907,87.3637545760969,4987.19773546192,1,0,0
4920,218.79123874543,87.380207958181,4988.21159960818,1,0,0
4921,219.284840207953,87.3966613402651,4989.22546375444,1,0,0
4922,219.776377443182,87.4130459147728,4990.23932790071,1,0,0
4923,220.267286534091,87.4294095511364,4991.25319204697,1,0,0
4924,220.757337420887,87.4457445806962,4992.26705619323,1,0,0
4925,221.24558335217,87.4620194450723,4993.28092033949,1,0,0
4926,221.733829283454,87.4782943094485,4994.29478448575,1,0,0
4927,222.219797830486,87.4944932610162,4995.30864863202,1,0,0
4928,222.705409341277,87.5106803113759,4996.32251277828,1,0,0
4929,223.126777193375,87.5268388596688,4997.33637692454,1,0,0
4930,223.449069046553,87.5429534523277,4998.3502410708,1,0,0
4931,223.771360899731,87.5590680449866,4999.36410521706,1,0,0
4932,224.092604928635,87.5751302464318,5000.37796936332,1,0,0
4933,224.41374676628,87.591187338314,5001.39183350959,1,0,0
4934,224.767973922462,87.6072189568985,5002.40569765585,1,0,0
4935,225.167885053322,87.6232154021329,5003.41956180211,1,0,0
4936,225.567796184181,87.6392118473673,5004.43342594837,1,0,0
4937,226.039005470822,87.6551335156941,5005.44729009463,1,0,0
4938,226.516459051724,87.6710486350575,5006.46115424089,1,0,0
4939,226.992889346966,87.6869296448989,5007.47501838716,1,0,0
4940,227.467823383905,87.7027607794635,5008.48888253342,1,0,0
4941,227.942757420845,87.7185919140282,5009.50274667968,1,0,0
4942,228.277241790718,87.7343620895359,5010.51661082594,1,0,0
4943,228.592478218039,87.7501239109019,5011.5304749722,1,0,0
4944,228.907338678011,87.7658669339005,5012.54433911847,1,0,0
4945,229.221474803665,87.7815737401833,5013.55820326473,1,0,0
4946,229.53561092932,87.797280546466,5014.57206741099,1,0,0
4947,229.911030346664,87.8129412138666,5015.58593155725,1,0,0
4948,230.302249646816,87.8285899858727,5016.59979570351,1,0,0
4949,230.711604833478,87.8442201611159,5017.61365984978,1,0,0
4950,231.178732861159,87.859791095372,5018.62752399604,1,0,0
4951,231.645860888841,87.8753620296281,5019.6413881423,1,0,0
